62,Markku Tamminen,Analysis of N-Trees.,1983,16,Inf. Process. Lett.,db/journals/ipl/ipl16.html#Tamminen83
63,Birgit Jenner,Knapsack Problems for NL.,1995,54,Inf. Process. Lett.,db/journals/ipl/ipl54.html#Jenner95
64,Luc Devroye,A Note on Finding Convex Hulls Via Maximal Vectors.,1980,11,Inf. Process. Lett.,db/journals/ipl/ipl11.html#Devroye80
65,Shuo-Yen Robert Li,On Full Utilization of Multi-Channel Capacity with Priority Protocol.,1990,36,Inf. Process. Lett.,db/journals/ipl/ipl36.html#Li90
66,Joanna Skowronek-Kazioacutew,1; 2 Conjecture - the multiplicative version.,2008,107,Inf. Process. Lett.,db/journals/ipl/ipl107.html#Skowronek-Kaziow08
67,Fabiano C. Botelho; Nicholas C. Wormald; Nivio Ziviani,Cores of random r-partite hypergraphs.,2012,112,Inf. Process. Lett.,db/journals/ipl/ipl112.html#BotelhoWZ12
68,Yasuhiko Takenaga; Toby Walsh,Tetravex is NP-complete.,2006,99,Inf. Process. Lett.,db/journals/ipl/ipl99.html#TakenagaW06
69,Zhengnan Shi; Wayne Goddard; Stephen T. Hedetniemi,A short note on Merlin-Arthur protocols for subset sum.,2017,118,Inf. Process. Lett.,db/journals/ipl/ipl118.html#Nederlof17
70,Rami A. AL-Namneh,An anonymous self-stabilizing algorithm for 1-maximal independent set in trees.,2004,91,Inf. Process. Lett.,db/journals/ipl/ipl91.html#ShiGH04
71,Hana Chockler; Dan Gutfreund,Five-step FFT algorithm with reduced computational complexity.,2007,101,Inf. Process. Lett.,db/journals/ipl/ipl101.html#NamnehP07
72,L. Sunil Chandran; Anita Das ; Naveen Sivadasan,On the cubicity of bipartite graphs.,2004,90,Inf. Process. Lett.,db/journals/ipl/ipl90.html#ChocklerG04
73,John N. Tsitsiklis,On the Use of Random Numbers in Asynchronous Simulation via Rollback.,2009,109,Inf. Process. Lett.,db/journals/ipl/ipl109.html#ChandranDS09
74,N. OConnell; Arteumlm Sapozhnikov,Complexity analysis of a decentralised graph colouring algorithm.,1989,31,Inf. Process. Lett.,db/journals/ipl/ipl31.html#Tsitsiklis89
75,Herbert Edelsbrunner; Hermann A. Maurer; David G. Kirkpatrick,Polygonal Intersection Searching.,1982,14,Inf. Process. Lett.,db/journals/ipl/ipl14.html#EdelsbrunnerMK82
76,Kunio Aizawa; Akira Nakamura,Direction-Independent Application of Productions on Two-Dimensional Arrays.,1986,22,Inf. Process. Lett.,db/journals/ipl/ipl22.html#AizawaN86
77,Reinhold Heckmann,Lower and Upper Power Domain Constructions Commute on all Cpos.,1991,40,Inf. Process. Lett.,db/journals/ipl/ipl40.html#Heckmann91
78,Jean-Franccedilois Couturier ; Dieter Kratsch,Bicolored independent sets and bicliques.,2012,112,Inf. Process. Lett.,db/journals/ipl/ipl112.html#CouturierK12
79,Peter T. Highnam,Optimal Algorithms for Finding the Symmetries of a Planar Point Set.,1986,22,Inf. Process. Lett.,db/journals/ipl/ipl22.html#Highnam86
80,Raja Jothi; Balaji Raghavachari,Survivable network design: the capacitated minimum spanning network problem.,2004,91,Inf. Process. Lett.,db/journals/ipl/ipl91.html#JothiR04
81,Jorge Calera-Rubio; Rafael C. Carrasco,Computing the Relative Entropy Between Regular Tree Languages.,1998,68,Inf. Process. Lett.,db/journals/ipl/ipl68.html#Calera-RubioC98
82,M. D. Atkinson,Pop-Stacks in Parallel.,1999,70,Inf. Process. Lett.,db/journals/ipl/ipl70.html#AtkinsonS99
83,Kuo-Liang Chung; Wen-Ming Yan,On the number of spanning trees of a multi-complete/star related graph.,2000,76,Inf. Process. Lett.,db/journals/ipl/ipl76.html#ChungY00
84,Arash Ahadi,The complexity of the proper orientation number.,2013,113,Inf. Process. Lett.,db/journals/ipl/ipl113.html#AhadiD13
85,Prosenjit Gupta; Ravi Janardan; Michiel H. M. Smid,A Technique for Adding Range Restrictions to Generalized Searching Problems.,1997,64,Inf. Process. Lett.,db/journals/ipl/ipl64.html#GuptaJS97
86,M. S. Sunitha,A characterization of partial blocks in weighted graphs.,2012,112,Inf. Process. Lett.,db/journals/ipl/ipl112.html#MathewS12
87,Zoran Ivkovic; Errol L. Lloyd,Partially Dynamic bin Packing can be Solved Within 1 + \varepsilon in (Amortized) Polylogarithmic Time.,1997,63,Inf. Process. Lett.,db/journals/ipl/ipl63.html#IvkovicL97
88,Chandrasekhar Narayanaswami ; William L. Luken,Approximating chi<sup>n</sup> Efficiently.,1994,50,Inf. Process. Lett.,db/journals/ipl/ipl50.html#NarayanaswamiL94
89,Livio Colussi; Alessia De Col,A Time and Space Efficient Data Structure for String Searching on Large Texts.,1996,58,Inf. Process. Lett.,db/journals/ipl/ipl58.html#ColussiC96
90,Nathan Segerlind,Exponential separation between Res(<i>k</i>) and Res(<i>k</i>+1) for <i>k</i> leq varepsilonlog<i>n</i>.,2005,93,Inf. Process. Lett.,db/journals/ipl/ipl93.html#Segerlind05
91,Mark Valentine; Robert H. Davis,The Automated Solution of Logic Puzzles.,1987,24,Inf. Process. Lett.,db/journals/ipl/ipl24.html#ValentineD87
92,Mario A. Loacutepez; Shlomo Reisner,Hausdorff approximation of 3D convex polytopes.,2008,107,Inf. Process. Lett.,db/journals/ipl/ipl107.html#LopezR08
93,NingNing Peng; KengMeng Ng; Kazuyuki Tanaka; Yue Yang,Optimal depth-first algorithms and equilibria of independent distributions on multi-branching trees.,2017,125,Inf. Process. Lett.,db/journals/ipl/ipl125.html#PengPNTY17
94,Andreacute Raspaud; Eacutric Sopena,Good and Semi-Strong Colorings of Oriented Planar Graphs.,1994,51,Inf. Process. Lett.,db/journals/ipl/ipl51.html#RaspaudS94
95,Dirk Nowotka,A note on Thue games.,2017,118,Inf. Process. Lett.,db/journals/ipl/ipl118.html#MercasN17
96,Benjamin Doerr; Mahmoud Fouz,Quasi-random rumor spreading: Reducing randomness can be costly.,2011,111,Inf. Process. Lett.,db/journals/ipl/ipl111.html#DoerrF11
97,Hechao Wang; Erfang Shan; Wei Wang ,On the super connectivity of Kronecker products of graphs.,2012,112,Inf. Process. Lett.,db/journals/ipl/ipl112.html#WangSW12
98,Joost Engelfriet,A Note on Infinite Trees.,1972,1,Inf. Process. Lett.,db/journals/ipl/ipl1.html#Engelfriet72
99,Laurence Boxer,Corrigenda: Common Intersections of Polygons.,1990,35,Inf. Process. Lett.,db/journals/ipl/ipl35.html#Boxer90
